"id","name","party","state","vote.1692","vote.1693","vote.1694","vote.1695","vote.1696","vote.1698","vote.1763","vote.1764","vote.1765","vote.1766","vote.1767","vote.1769","vote.1771","vote.1772","vote.1773","vote.1774","vote.1775","vote.1777","vote.1779","vote.1781"
74,"FRANCISCO COELHO","PFL","MA",4,4,4,1,2,1,2,1,4,4,4,4,4,4,1,1,4,4,4,4
299,"FRANCISCO DORNELLES","PPB","RJ",NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,1,1,1,2,4,4
36,"FRANCISCO GARCIA","PFL","AM",1,1,2,1,2,1,2,1,1,4,4,4,1,2,4,1,1,2,4,4
3,"FRANCISCO RODRIGUES","PFL","RR",4,4,4,4,4,4,2,4,1,2,2,4,1,2,1,1,4,2,4,4
300,"FRANCISCO SILVA","PST","RJ",NA,NA,NA,NA,NA,NA,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,"FRANCISTONIO PINTO","PFL","BA",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,2
63,"FREIRE JUNIOR","PMDB","TO",1,1,1,1,4,4,2,1,1,2,4,4,1,2,4,1,1,4,4,4
75,"GASTAO VIEIRA","PMDB","MA",2,2,1,1,2,1,2,2,1,4,2,1,1,2,1,1,1,2,4,2
193,"GEDDEL VIEIRA LIMA","PMDB","BA",4,1,2,1,2,1,2,4,1,4,4,4,4,2,1,1,4,4,4,4
628,"GENESIO BERNARDINO","PMDB","MG",NA,NA,NA,NA,NA,NA,2,1,1,2,2,4,1,4,1,1,1,2,4,2
417,"GEOVAN FREITAS","PMDB","GO",2,2,1,1,1,2,2,4,4,1,5,1,2,4,2,2,1,4,4,4
408,"GERALDO MAGELA","PT","DF",4,4,1,1,1,2,1,2,2,4,5,1,4,4,1,2,1,1,4,1
497,"GERMANO RIGOTTO","PMDB","RS",4,2,1,1,1,1,2,3,2,2,4,1,1,2,1,1,1,4,4,4
185,"GERSON GABRIELLI","PFL","BA",4,4,4,4,2,1,2,4,1,4,4,4,1,2,4,4,4,4,4,4
23,"GERSON PERES","PPB","PA",1,1,2,1,2,1,2,1,1,4,4,1,1,2,1,1,1,2,4,2
479,"GERVASIO SILVA","PFL","SC",1,1,4,4,4,1,2,4,4,2,2,4,1,2,1,1,1,2,4,2
555,"GESSIVALDO ISAIAS","PMDB","PI",NA,NA,NA,NA,NA,NA,2,1,1,2,2,4,1,2,1,1,1,2,4,2
357,"GILBERTO KASSAB","PFL","SP",1,1,2,1,2,1,2,1,4,4,2,1,4,2,1,1,1,2,4,2
234,"GILMAR MACHADO","PT","MG",1,1,1,1,1,2,1,2,2,1,5,1,2,2,1,2,1,1,4,1
25,"GIOVANNI QUEIROZ","PDT","PA",2,1,1,2,1,4,2,2,2,1,5,4,2,4,1,2,1,2,4,1
166,"GIVALDO CARIMBAO","PSB","AL",2,2,4,1,1,2,1,2,2,1,1,4,2,1,4,4,4,1,4,4
236,"GLYCON TERRA PINTO","PMDB","MG",1,1,4,1,4,1,2,1,1,2,2,4,4,4,1,1,4,4,4,4
143,"GONZAGA PATRIOTA","PSB","PE",2,2,1,4,1,4,4,4,4,4,4,4,2,1,1,2,4,1,4,1
450,"GUSTAVO FRUET","PMDB","PR",1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,4,1
613,"HAROLDO BEZERRA","PSDB","PA",1,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,"HAROLDO LIMA","PCdoB","BA",2,2,1,1,1,2,1,2,2,4,4,2,2,5,1,2,1,1,4,4
549,"HELENILDO RIBEIRO","PSDB","AL",1,1,2,1,2,1,2,1,1,2,2,1,1,4,1,1,1,2,4,2
237,"HELIO COSTA","PMDB","MG",4,4,1,1,1,2,4,4,4,4,4,4,1,2,1,1,1,4,4,1
123,"HENRIQUE EDUARDO ALVES","PMDB","RN",4,1,2,1,4,4,4,1,1,4,4,4,4,2,1,4,4,2,4,4
498,"HENRIQUE FONTANA","PT","RS",1,1,1,1,1,2,1,2,2,1,4,1,2,4,1,2,1,1,4,1
114,"HERACLITO FORTES","PFL","PI",1,1,2,4,2,1,4,1,1,2,2,1,4,2,1,1,1,2,4,4
235,"HERCULANO ANGHINETTI","PPB","MG",1,1,2,4,2,1,4,1,1,2,2,4,4,4,4,4,4,4,4,4
448,"HERMES PARCIANELLO","PMDB","PR",1,1,2,1,2,1,2,4,1,2,2,4,4,4,1,1,1,2,4,2
472,"HUGO BIEHL","PPB","SC",4,4,1,1,2,1,4,4,4,4,4,1,1,2,1,1,1,2,4,2
