"id","name","party","state","vote.587","vote.588","vote.589","vote.590","vote.591","vote.592","vote.597","vote.598","vote.599","vote.605","vote.606","vote.608","vote.609","vote.610","vote.611","vote.618","vote.619","vote.620","vote.621","vote.622","vote.623","vote.624","vote.625"
63,"FREIRE JUNIOR","PMDB","TO",4,4,4,4,4,4,4,2,4,1,1,1,1,1,2,4,4,2,1,1,2,2,1
75,"GASTAO VIEIRA","PMDB","MA",4,2,1,1,1,1,1,2,1,4,1,1,1,4,4,1,2,2,1,1,2,2,1
193,"GEDDEL VIEIRA LIMA","PMDB","BA",2,2,4,4,4,1,1,4,1,1,4,1,1,1,2,4,4,4,4,1,2,4,4
234,"GENESIO BERNARDINO","PMDB","MG",2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,4,2,2,1,1,4,2,1
599,"GERALDO PASTANA","PT","PA",1,1,2,1,1,1,2,1,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4
497,"GERMANO RIGOTTO","PMDB","RS",2,2,1,1,1,1,1,2,1,1,1,1,1,4,2,1,4,2,1,1,2,2,1
23,"GERSON PERES","PPB","PA",4,2,1,1,1,1,1,2,1,1,1,2,2,1,4,1,2,2,1,1,2,2,1
12,"GERVASIO OLIVEIRA","PDT","AP",5,1,2,4,1,1,2,1,4,1,2,2,2,2,1,4,5,4,4,4,4,4,4
401,"GILNEY VIANA","PT","MT",1,4,2,1,1,1,2,1,2,1,2,2,2,4,1,4,4,4,4,4,4,4,4
133,"GILVAN FREIRE","PSB","PB",4,1,2,1,1,1,2,1,2,1,4,2,2,2,4,4,4,4,4,4,4,4,4
25,"GIOVANNI QUEIROZ","PDT","PA",4,4,4,4,4,4,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
93,"GONZAGA MOTA","PMDB","CE",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
143,"GONZAGA PATRIOTA","PSB","PE",1,4,2,1,4,4,2,1,4,1,2,2,4,2,1,4,4,4,4,4,4,4,4
194,"HAROLDO LIMA","PCdoB","BA",1,5,4,1,1,1,2,1,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4
560,"HAROLDO SABOIA","PT","MA",1,4,4,1,1,1,2,1,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4
356,"HELIO BICUDO","PT","SP",1,1,2,1,1,1,2,1,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4
357,"HELIO ROSAS","PMDB","SP",2,2,1,1,4,4,2,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4
123,"HENRIQUE EDUARDO ALVES","PMDB","RN",2,4,4,4,1,1,1,2,1,1,4,1,1,1,2,1,2,4,1,4,4,4,4
114,"HERACLITO FORTES","PFL","PI",2,2,1,4,1,1,1,2,1,1,4,1,1,1,2,4,2,2,1,1,2,2,1
235,"HERCULANO ANGHINETTI","PPB","MG",2,4,4,1,1,1,1,2,1,1,1,1,1,1,4,1,2,2,4,1,2,2,1
448,"HERMES PARCIANELLO","PMDB","PR",4,4,4,4,4,4,2,4,4,1,1,2,2,2,4,4,4,4,4,4,4,4,4
26,"HILARIO COIMBRA","PSDB","PA",4,4,1,1,1,1,1,2,1,4,1,1,1,1,2,1,2,2,1,1,2,2,1
472,"HUGO BIEHL","PPB","SC",2,2,1,1,1,4,1,2,1,4,1,1,1,1,4,1,2,2,1,1,2,2,1
